,9-Aug,,,1987,,,1929,,,,,,
,Date,Close,,Date,Close,,Date,Close,,Date,Close,,
1,10/9/07,1565.150024,,8/25/87,336.769989,,9/13/29,31.379999,,2/19/20,3386.149902,,
2,10/10/07,1562.469971,,8/26/87,334.570007,,9/16/29,31.860001,,2/20/20,3373.22998,,3386.149902
3,10/11/07,1554.410034,,8/27/87,331.380005,,9/17/29,31.6,,2/21/20,3337.75,,
4,10/12/07,1561.800049,,8/28/87,327.040009,,9/18/29,31.68,,2/24/20,3225.889893,,
5,10/15/07,1548.709961,,8/31/87,329.799988,,9/19/29,31.73,,2/25/20,3128.209961,,
6,10/16/07,1538.530029,,9/1/87,323.399994,,9/20/29,31.389999,,2/26/20,3116.389893,,
7,10/17/07,1541.23999,,9/2/87,321.679993,,9/23/29,31.379999,,2/27/20,2978.76001,,
8,10/18/07,1540.079956,,9/3/87,320.209991,,9/24/29,30.799999,,2/28/20,2954.219971,,
9,10/19/07,1500.630005,,9/4/87,316.700012,,9/25/29,30.85,,3/2/20,3090.22998,,
10,10/22/07,1506.329956,,9/8/87,313.559998,,9/26/29,31.129999,,3/3/20,3003.370117,,
11,10/23/07,1519.589966,,9/9/87,313.920013,,9/27/29,30.27,,3/4/20,3130.120117,,
12,10/24/07,1515.880005,,9/10/87,317.130005,,9/30/29,30.16,,3/5/20,3023.939941,,
13,10/25/07,1514.400024,,9/11/87,321.980011,,10/1/29,29.98,,3/6/20,2972.370117,,
14,10/26/07,1535.280029,,9/14/87,323.079987,,10/2/29,30.200001,,3/9/20,2746.560059,,
15,10/29/07,1540.97998,,9/15/87,317.73999,,10/3/29,28.950001,,3/10/20,2882.22998,,
16,10/30/07,1531.02002,,9/16/87,314.859985,,10/4/29,28.65,,3/11/20,2741.379883,,
17,10/31/07,1549.380005,,9/17/87,314.929993,,10/7/29,30.440001,,3/12/20,2480.639893,,
18,11/1/07,1508.439941,,9/18/87,314.859985,,10/8/29,30.34,,3/13/20,2711.02002,,
19,11/2/07,1509.650024,,9/21/87,310.540009,,10/9/29,30.27,,3/16/20,2386.129883,,
20,11/5/07,1502.170044,,9/22/87,319.5,,10/10/29,30.809999,,3/17/20,2529.189941,,
21,11/6/07,1520.27002,,9/23/87,321.190002,,10/11/29,30.76,,3/18/20,2398.100098,,
22,11/7/07,1475.619995,,9/24/87,319.720001,,10/14/29,30.549999,,3/19/20,2409.389893,,
23,11/8/07,1474.77002,,9/25/87,320.160004,,10/15/29,30.299999,,3/20/20,2304.919922,,
24,11/9/07,1453.699951,,9/28/87,323.200012,,10/16/29,29.24,,,,,
25,11/12/07,1439.180054,,9/29/87,321.690002,,10/17/29,29.690001,,,,,
26,11/13/07,1481.050049,,9/30/87,321.829987,,10/18/29,28.84,,,,,
27,11/14/07,1470.579956,,10/1/87,327.329987,,10/21/29,27.73,,,,,
